Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,žena,produktívny vek (15-64 rokov),502
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,žena,poproduktívny vek (65 a viac rokov),125
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,muž,predproduktívny vek (0-14 rokov),334
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,muž,produktívny vek (15-64 rokov),857
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,muž,poproduktívny vek (65 a viac rokov),167
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,žena,predproduktívny vek (0-14 rokov),294
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,žena,produktívny vek (15-64 rokov),844
SK0105,SK0105529443,Okres Bratislava V,Bratislava - mestská časť Jarovce,žena,poproduktívny vek (65 a viac rokov),210
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,muž,predproduktívny vek (0-14 rokov),8489
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,muž,produktívny vek (15-64 rokov),36875
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,muž,poproduktívny vek (65 a viac rokov),9602
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,žena,predproduktívny vek (0-14 rokov),8188
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,žena,produktívny vek (15-64 rokov),38286
SK0105,SK0105529460,Okres Bratislava V,Bratislava - mestská časť Petržalka,žena,poproduktívny vek (65 a viac rokov),12560
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,muž,predproduktívny vek (0-14 rokov),451
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,muž,produktívny vek (15-64 rokov),1416
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,muž,poproduktívny vek (65 a viac rokov),274
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,žena,predproduktívny vek (0-14 rokov),424
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,žena,produktívny vek (15-64 rokov),1472
SK0105,SK0105529494,Okres Bratislava V,Bratislava - mestská časť Rusovce,žena,poproduktívny vek (65 a viac rokov),351
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),muž,predproduktívny vek (0-14 rokov),7
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),muž,produktívny vek (15-64 rokov),58
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),muž,poproduktívny vek (65 a viac rokov),9
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),žena,predproduktívny vek (0-14 rokov),4
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),žena,produktívny vek (15-64 rokov),55
SK0106,SK0106500267,Okres Malacky,Záhorie (vojenský obvod),žena,poproduktívny vek (65 a viac rokov),14
SK0106,SK0106504556,Okres Malacky,Malé Leváre,muž,predproduktívny vek (0-14 rokov),122
SK0106,SK0106504556,Okres Malacky,Malé Leváre,muž,produktívny vek (15-64 rokov),532
SK0106,SK0106504556,Okres Malacky,Malé Leváre,muž,poproduktívny vek (65 a viac rokov),83
SK0106,SK0106504556,Okres Malacky,Malé Leváre,žena,predproduktívny vek (0-14 rokov),140
SK0106,SK0106504556,Okres Malacky,Malé Leváre,žena,produktívny vek (15-64 rokov),517
SK0106,SK0106504556,Okres Malacky,Malé Leváre,žena,poproduktívny vek (65 a viac rokov),116
