Zoznam zvolených starostov,,,,,,,,,,
,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Meno,Priezvisko,Politický subjekt
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501441,Báč,Ildikó,Duduczová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501450,Baka,Juraj,Bertalan,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501468,Baloň,Kristián,Tovaryš,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555517,Bellova Ves,Mária,Jankovičová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501484,Blahová,Alfréd,Kuczman,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501492,Blatná na Ostrove,Terézia,Földváry,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,503461,Bodíky,Tamás,Világi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501506,Boheľov,Ferenc,Bögi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501514,Čakany,Lívia,Bugárová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580554,Čenkovce,Jozef,Karika,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501531,Čiližská Radvaň,Erzsébet,Janík,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501549,Dobrohošť,Jozef,Boráros,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501557,Dolný Bar,Oskár,Bereczk,"Hlas - sociálna demokracia, SMER - SD, SZÖVETSÉG - ALIANCIA"
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501611,Dolný Štál,Tomáš,Horváth,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501433,Dunajská Streda,Zoltán,Hájos,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555541,Dunajský Klátov,Mária,Csibová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501573,Gabčíkovo,Iván,Fenes,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501581,Holice,Ľudovít,Iván,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501590,Horná Potôň,Tivadar,Sidó,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555568,Horné Mýto,Ernest,Almási,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501603,Horný Bar,Štefan,Bodó,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501620,Hubice,Mária,Horváthová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501638,Hviezdoslavov,Marek,Lackovič,"Progresívne Slovensko, SaS"
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501654,Jahodná,Jarmila,Ribánszký,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501662,Janíky,Lajos,Berner,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501671,Jurová,Gabriel,Fekete,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501689,Kľúčovec,Csaba,Bognár,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501697,Kostolné Kračany,Peter,Mórocz,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501701,Kráľovičove Kračany,Zoltán,Wurczell,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501719,Kútniky,František,Bokros,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501727,Kvetoslavov,Soňa,Franková,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580597,Kyselica,Erika,Orosz Ágošton,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501735,Lehnice,František,Szitási,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501743,Lúč na Ostrove,Ladislav,Kiss,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555606,Macov,Ľubomír,Baka,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555649,Mad,Gabriel,László,"Hlas - sociálna demokracia, SMER - SD, SZÖVETSÉG - ALIANCIA"
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555665,Malé Dvorníky,Ladislav,Pálffy,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501760,Medveďov,Ladislav,Kulacs,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501778,Mierovo,Katarína,Janikovicsová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501786,Michal na Ostrove,Július,Borbély,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501930,Ňárad,Jozef,Lukács,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501808,Nový Život,Alžbeta,Mészárosová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501816,Ohrady,Anikó,Rabay,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501824,Okoč,Ladislav,Polák,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501832,Oľdza,Ildikó,Gyurcsiová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501859,Orechová Potôň,Szilárd,Gálffy,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501867,Padáň,Zoltán,Szabó,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501883,Pataš,Ernest,Takács,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,582522,Potônske Lúky,Leonard,Flaška,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555720,Povoda,Alexander,Csóka,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501891,Rohovce,Zoltán,László,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501875,Sap,František,Miklós,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501905,Šamorín,Csaba,Orosz,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501913,Štvrtok na Ostrove,Péter,Őry,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501921,Topoľníky,László,Bacsó,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555576,Trhová Hradská,Gergely,Török,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501956,Trnávka,Juraj,Lami,Magyar Fórum - Maďarské fórum
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501964,Trstená na Ostrove,Zuzana,Bónová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501972,Veľká Paka,Ivan,Seňan,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501981,Veľké Blahovo,Júlia,Gányovicsová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555673,Veľké Dvorníky,Ján,Ürögi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501522,Veľký Meder,Marian,Soóky,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555746,Vieska,Robert,Mocsonoky,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501999,Vojka nad Dunajom,Donald,Álló,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502006,Vrakúň,Štefan,Fazekas,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502014,Vydrany,Ladislav,Balódi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502022,Zlaté Klasy,Marek,Rigo,SMER - SD
2,Trnavský kraj,202,Galanta,202,Galanta,503673,Abrahám,Tibor,Ležovič,"SMER - SD, Hlas - sociálna demokracia, SNS"
2,Trnavský kraj,202,Galanta,202,Galanta,503690,Čierna Voda,Zuzana,Csadyová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503703,Čierny Brod,Roland,Kubík,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,555789,Dolná Streda,Ľuboš,Šúry,"SMER - SD, Hlas - sociálna demokracia"
2,Trnavský kraj,202,Galanta,202,Galanta,503746,Dolné Saliby,Ľudovít,Kovács,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503754,Dolný Chotár,Ladislav,Culinka,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503665,Galanta,Peter,Kolek,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,503762,Gáň,Juraj,Dovina,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,503771,Horné Saliby,Pavol,Dobosy,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503789,Hoste,Ľuboš,Karel,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,202,Galanta,202,Galanta,503827,Jánovce,Jozef,Čechovič,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,202,Galanta,202,Galanta,503835,Jelka,Gabriel,Kiš,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,503843,Kajal,Lívia,Farkasová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503860,Košúty,Zdenka,Mačicová,Hlas - sociálna demokracia
2,Trnavský kraj,202,Galanta,202,Galanta,503878,Kráľov Brod,Gergely,Agócs,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,582638,Malá Mača,František,Hontvári,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,555754,Matúškovo,Marta,Mészárosová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,503924,Mostová,Tibor,Rózsár,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,503959,Pata,Jozef,Berčík,KDH
2,Trnavský kraj,202,Galanta,202,Galanta,503967,Pusté Sady,Tomáš,Nemeček,"SMER - SD, Hlas - sociálna demokracia"
2,Trnavský kraj,202,Galanta,202,Galanta,503975,Pusté Úľany,Henrich,Čambál,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,202,Galanta,202,Galanta,504009,Sereď,Ondrej,Kurbel,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504017,Sládkovičovo,Gábor,Krommer,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504033,Šalgočka,Helena,Mesárošová,"SMER - SD, Hlas - sociálna demokracia, SNS"
2,Trnavský kraj,202,Galanta,202,Galanta,504041,Šintava,Stanislava,Režnáková,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504050,Šoporňa,Adrián,Macho,Hlas - sociálna demokracia
2,Trnavský kraj,202,Galanta,202,Galanta,504076,Tomášikovo,Zoltán,Horváth,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,504084,Topoľnica,Miroslav,Szabó,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504106,Trstice,Éva,Kacz,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,504114,Váhovce,Adrián,Kubica,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,202,Galanta,202,Galanta,504122,Veľká Mača,Dagmar,Kosnáčová,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504131,Veľké Úľany,František,Gőgh,"STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI, SZÖVETSÉG - ALIANCIA"
2,Trnavský kraj,202,Galanta,202,Galanta,504149,Veľký Grob,Viliam,Rigo,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,202,Galanta,202,Galanta,504157,Vinohrady nad Váhom,Eva,Hanusová,NEKA
2,Trnavský kraj,202,Galanta,202,Galanta,504173,Vozokany,Tamás,Zupko,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,202,Galanta,202,Galanta,504181,Zemianske Sady,Roman,Súkeník,"SMER - SD, Hlas - sociálna demokracia, SNS"
2,Trnavský kraj,203,Piešťany,204,Piešťany,581399,Banka,Tatiana,Julinyová,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,558354,Bašovce,Sandra,Borovská,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,506834,Borovce,Ivan,Šiška,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,506982,Dolný Lopašov,Mário,Beblavý,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,506991,Drahovce,Miroslav,Ledecký,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507008,Dubovany,Miroslav,Michalčík,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,558338,Ducové,Mária,Koláriková,SMER - SD
2,Trnavský kraj,203,Piešťany,204,Piešťany,556581,Hubina,Peter,Fedák,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507121,Chtelnica,Ján,Horváth,SMER - SD
2,Trnavský kraj,203,Piešťany,204,Piešťany,507199,Kočín - Lančár,Štefan,Lányi,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507229,Krakovany,František,Klinovský,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507342,Moravany nad Váhom,Peter,Hulman,SMER - SD
2,Trnavský kraj,203,Piešťany,204,Piešťany,507369,Nižná,Jana,Sersenová,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507385,Ostrov,Jozef,Tkácz,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507431,Pečeňady,Ladislav,Boháčik,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507440,Piešťany,Peter,Jančovič,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507466,Prašník,Milan,Mozolák,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507482,Rakovice,Dušan,Daloš,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507491,Ratnovce,Daniela,Sigetová,KDH
2,Trnavský kraj,203,Piešťany,204,Piešťany,507563,Sokolovce,Marián,Dóczy,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,558397,Šípkové,Janka,Miškufová,SMER - SD
2,Trnavský kraj,203,Piešťany,204,Piešťany,556548,Šterusy,Štefan,Madunický,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507679,Trebatice,Juraj,Valo,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,203,Piešťany,204,Piešťany,507709,Veľké Kostoľany,Gilbert,Liška,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,556572,Veľké Orvište,Pavol,Paulovič,Hlas - sociálna demokracia
2,Trnavský kraj,203,Piešťany,204,Piešťany,507725,Veselé,Viera,Šipková,NEKA
2,Trnavský kraj,203,Piešťany,204,Piešťany,507750,Vrbové,Štefan,Kubík,SMER - SD
2,Trnavský kraj,204,Senica,205,Senica,504211,Bílkove Humence,Rastislav,Nemečkay,SMER - SD
2,Trnavský kraj,204,Senica,205,Senica,504238,Borský Mikuláš,Róbert,Macek,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504220,Borský Svätý Jur,Juraj,Smolár,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504297,Cerová,Ján,Čerešník,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504319,Čáry,Martin,Královič,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504327,Častkov,Eva,Černeková,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
2,Trnavský kraj,204,Senica,205,Senica,504335,Dojč,Slavomíra,Melišová,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504360,Hlboké,Miloš,Čobrda,NEKA
2,Trnavský kraj,204,Senica,205,Senica,504386,Hradište pod Vrátnom,Lukáš,Piroha,NEKA
