Zoznam kandidátov na starostu obce,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Politický subjekt,Poznámka
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,3,Igor,Polakovič,,46,"poslanec mestského zastupiteľstva, aktivista, fundraiser","Team Bratislava, Progresívne Slovensko, SaS",
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,4,Mária,Šimončičová,Mgr.,48,kultúrna referentka,NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,1,Jozef,Krúpa,Ing.,59,starosta,SOM Slovensko,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,2,Róbert,Martauz,Ing.,40,podnikateľ,NK/NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,1,Gabriela,Ferenčáková,,68,starostka,SOM Slovensko,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,2,Michaela,Forróová,,40,manažérka predajne,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,3,Richard,Puchala,Ing.,38,podnikateľ,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,1,Jozef,Uhler,JUDr. Mgr.,46,starosta,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,1,Ján,Hrčka,Ing.,42,starosta,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,2,Martin,Kližan,,33,nezamestnaný,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,3,Elena,Pätoprstá,"Ing. arch., Mgr. art.",62,"dizajnérka, protikorupčná aktivistka","Zmena zdola, DÚ",
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,1,Radovan,Jenčík,,44,poslanec mestského zastupiteľstva,NEKA,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,2,Lucia,Tuleková Henčelová,"PhDr., PhD.",42,starostka,"Team Bratislava, Progresívne Slovensko",
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,1,Miroslav,Paulen,,55,starosta,SOM Slovensko,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,2,Štefan,Vrabec,Ing. arch.,36,architekt,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,1,Jaroslav,Miklóš,"RNDr., PhD.",67,dôchodca,NK/NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,2,Dagmar,Mištinová,"Mgr., Ing.",57,ekonómka,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,3,Martin,Rybecký,"Bc., Ing.",37,starosta,"SaS, SME RODINA, OKS",
